,player,nation,pos,squad,comp,age,mp,starts,min,90s,gls,ast,g&a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg&xag,prgc,prgp,prgr,gls,ast,g&a,g_pk,g&a_pk,xg,xag,xg&xag,npxg,npxg&xag,agg_pos
50,Nathan Ake,NED,DF,Manchester City, Premier League,27,26.0,22.0,1873.0,20.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,0.7,2.3,25.0,140.0,30.0,0.05,0.0,0.05,0.05,0.05,0.07,0.04,0.11,0.07,0.11,DF
52,Sergio Akieme,ESP,DF,Almería, La Liga,24,29.0,27.0,2297.0,25.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.5,1.5,2.0,3.5,60.0,58.0,84.0,0.04,0.0,0.04,0.04,0.04,0.06,0.08,0.14,0.06,0.14,DF
53,Babatunde Akinsola,NGA,FW,Valladolid, La Liga,19,1.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
54,Maghnes Akliouche,FRA,"MF,FW",Monaco, Ligue 1,20,11.0,5.0,402.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.5,0.9,9.0,16.0,42.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.21,0.1,0.21,MF
55,Paul Akouokou,CIV,"MF,DF",Betis, La Liga,24,12.0,3.0,447.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.2,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,MF
56,Jean-Daniel Akpa-Akpro,CIV,"MF,FW",Empoli, Serie A,29,24.0,16.0,1356.0,15.1,1.0,1.0,2.0,1.0,0.0,0.0,9.0,2.0,1.5,1.5,1.0,2.4,19.0,39.0,37.0,0.07,0.07,0.13,0.07,0.13,0.1,0.06,0.16,0.1,0.16,MF
57,Kevin Akpoguma,NGA,DF,Hoffenheim, Bundesliga,27,28.0,21.0,1950.0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.6,0.6,0.5,1.2,17.0,85.0,23.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05,DF
58,David Alaba,AUT,DF,Real Madrid, La Liga,30,23.0,21.0,1838.0,20.4,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,1.1,1.9,16.0,67.0,60.0,0.05,0.15,0.2,0.05,0.2,0.04,0.05,0.09,0.04,0.09,DF
60,Tomas Alarcon,CHI,MF,Cádiz, La Liga,23,4.0,2.0,223.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.1,0.1,2.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,MF
61,Lucas Alario,ARG,"FW,MF",Eint Frankfurt, Bundesliga,29,20.0,2.0,331.0,3.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.0,1.5,2.0,8.0,17.0,0.27,0.0,0.27,0.27,0.27,0.39,0.01,0.4,0.39,0.4,FW
62,Jordi Alba,ESP,DF,Barcelona, La Liga,33,24.0,14.0,1419.0,15.8,2.0,3.0,5.0,2.0,0.0,0.0,6.0,1.0,0.8,0.8,6.2,7.0,42.0,141.0,157.0,0.13,0.19,0.32,0.13,0.32,0.05,0.4,0.44,0.05,0.44,DF
63,Luis Alberto,ESP,MF,Lazio, Serie A,29,35.0,27.0,2442.0,27.1,6.0,7.0,13.0,5.0,1.0,2.0,4.0,0.0,4.4,2.7,7.0,9.7,73.0,248.0,94.0,0.22,0.26,0.48,0.18,0.44,0.16,0.26,0.42,0.1,0.36,MF
64,Raul Albiol,ESP,DF,Villarreal, La Liga,36,25.0,24.0,2119.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.1,0.1,0.0,0.1,12.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,DF
65,Marc Albrighton,ENG,"FW,MF",Leicester City, Premier League,32,6.0,1.0,237.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,1.3,4.0,7.0,18.0,0.38,0.0,0.38,0.38,0.38,0.13,0.34,0.48,0.13,0.48,FW
66,Thiago Alcantara,ESP,MF,Liverpool, Premier League,31,18.0,14.0,1254.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.1,1.5,13.0,120.0,24.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.11,0.03,0.11,MF
67,Carlos Alcaraz,ARG,"MF,FW",Southampton, Premier League,19,18.0,13.0,1029.0,11.4,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,1.9,1.9,0.7,2.6,20.0,28.0,32.0,0.35,0.17,0.52,0.35,0.52,0.17,0.06,0.23,0.17,0.23,MF
68,Ruben Alcaraz,ESP,MF,Cádiz, La Liga,31,31.0,22.0,2043.0,22.7,3.0,0.0,3.0,1.0,2.0,3.0,11.0,1.0,4.0,1.6,1.3,2.9,30.0,105.0,20.0,0.13,0.0,0.13,0.04,0.04,0.18,0.06,0.23,0.07,0.13,MF
69,Omar Alderete,PAR,DF,Getafe, La Liga,25,25.0,23.0,2047.0,22.7,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,0.6,0.6,0.8,1.4,28.0,96.0,8.0,0.04,0.04,0.09,0.04,0.09,0.03,0.03,0.06,0.03,0.06,DF
70,Ivan Alejo,ESP,"MF,FW",Cádiz, La Liga,27,31.0,13.0,1311.0,14.6,0.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,1.2,1.2,2.4,3.6,52.0,16.0,103.0,0.0,0.07,0.07,0.0,0.07,0.08,0.17,0.25,0.08,0.25,MF
71,Dogan Alemdar,TUR,GK,Rennes, Ligue 1,19,6.0,4.0,406.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,GK
